episode,reward,x_pos,coins,score,time,life,flag_get,world,total_deaths
1,-0.65,40,0,0,400,2,False,1,0
1,0.35,40,0,0,400,2,False,1,0
1,0.95,41,0,0,400,2,False,1,0
1,0.95,42,0,0,400,2,False,1,0
1,0.95,43,0,0,400,2,False,1,0
1,0.95,44,0,0,400,2,False,1,0
1,0.95,45,0,0,400,2,False,1,0
1,1.5499999999999998,47,0,0,400,2,False,1,0
1,1.5499999999999998,49,0,0,400,2,False,1,0
1,2.551,51,0,0,399,2,False,1,0
1,1.551,53,0,0,399,2,False,1,0
1,3.0509999999999997,56,0,0,399,2,False,1,0
1,3.0509999999999997,59,0,0,399,2,False,1,0
1,3.9509999999999996,63,0,0,399,2,False,1,0
1,3.0509999999999997,66,0,0,399,2,False,1,0
1,3.9509999999999996,70,0,0,399,2,False,1,0
1,3.9509999999999996,74,0,0,399,2,False,1,0
1,3.9509999999999996,78,0,0,399,2,False,1,0
1,4.851,83,0,0,399,2,False,1,0
1,4.952,87,0,0,398,2,False,1,0
1,4.852,92,0,0,398,2,False,1,0
1,10.072,98,0,0,398,2,False,1,0
1,15.0,104,0,0,398,2,False,1,0
1,10.072,110,0,0,398,2,False,1,0
1,10.072,116,0,0,398,2,False,1,0
1,10.072,122,0,0,398,2,False,1,0
1,10.072,128,0,0,398,2,False,1,0
1,10.072,134,0,0,398,2,False,1,0
1,10.072,140,0,0,398,2,False,1,0
1,11.072999999999999,146,0,0,397,2,False,1,0
1,10.072999999999999,152,0,0,397,2,False,1,0
1,10.072999999999999,158,0,0,397,2,False,1,0
1,10.072999999999999,164,0,0,397,2,False,1,0
1,10.072999999999999,170,0,0,397,2,False,1,0
1,10.072999999999999,176,0,0,397,2,False,1,0
1,10.072999999999999,182,0,0,397,2,False,1,0
1,10.072999999999999,188,0,0,397,2,False,1,0
1,3.9529999999999994,192,0,0,397,2,False,1,0
1,3.9529999999999994,196,0,0,397,2,False,1,0
1,4.054,199,0,0,396,2,False,1,0
1,8.954,203,0,0,396,2,False,1,0
1,3.054,206,0,0,396,2,False,1,0
1,3.9539999999999997,210,0,0,396,2,False,1,0
1,3.054,213,0,0,396,2,False,1,0
1,3.9539999999999997,217,0,0,396,2,False,1,0
1,3.054,220,0,0,396,2,False,1,0
1,3.9539999999999997,224,0,0,396,2,False,1,0
1,3.054,227,0,0,396,2,False,1,0
1,3.9539999999999997,231,0,0,396,2,False,1,0
1,4.055,234,0,0,395,2,False,1,0
1,3.9549999999999996,238,0,0,395,2,False,1,0
1,3.0549999999999997,241,0,0,395,2,False,1,0
1,4.855,246,0,0,395,2,False,1,0
1,3.9549999999999996,250,0,0,395,2,False,1,0
1,3.9549999999999996,254,0,0,395,2,False,1,0
1,4.855,259,0,0,395,2,False,1,0
1,10.075,265,0,0,395,2,False,1,0
1,4.855,270,0,0,395,2,False,1,0
1,4.855,275,0,0,395,2,False,1,0
1,11.075999999999999,281,0,0,394,2,False,1,0
1,10.075999999999999,287,0,0,394,2,False,1,0
1,4.856,292,0,0,394,2,False,1,0
1,3.9559999999999995,296,0,0,394,2,False,1,0
1,8.956,300,0,0,394,2,False,1,0
1,3.9559999999999995,304,0,0,394,2,False,1,0
1,4.856,309,0,0,394,2,False,1,0
1,4.856,314,0,0,394,2,False,1,0
1,4.856,319,0,0,394,2,False,1,0
1,4.856,324,0,0,394,2,False,1,0
1,11.076999999999998,330,0,0,393,2,False,1,0
1,10.076999999999998,336,0,0,393,2,False,1,0
1,10.076999999999998,342,0,0,393,2,False,1,0
1,10.076999999999998,348,0,0,393,2,False,1,0
1,10.076999999999998,354,0,0,393,2,False,1,0
1,10.076999999999998,360,0,0,393,2,False,1,0
1,10.076999999999998,366,0,0,393,2,False,1,0
1,10.076999999999998,372,0,0,393,2,False,1,0
1,10.076999999999998,378,0,0,393,2,False,1,0
1,10.076999999999998,384,0,0,393,2,False,1,0
1,11.078,390,0,0,392,2,False,1,0
1,10.078,396,0,0,392,2,False,1,0
1,10.078,402,0,0,392,2,False,1,0
1,10.078,408,0,0,392,2,False,1,0
1,10.078,414,0,0,392,2,False,1,0
1,10.078,420,0,0,392,2,False,1,0
1,10.078,426,0,0,392,2,False,1,0
1,10.078,432,0,0,392,2,False,1,0
1,10.078,438,0,0,392,2,False,1,0
1,10.078,444,0,0,392,2,False,1,0
1,11.078999999999999,450,0,0,391,2,False,1,0
1,10.078999999999999,456,0,0,391,2,False,1,0
1,10.078999999999999,462,0,0,391,2,False,1,0
1,10.078999999999999,468,0,0,391,2,False,1,0
1,10.078999999999999,474,0,0,391,2,False,1,0
1,10.078999999999999,480,0,0,391,2,False,1,0
1,10.078999999999999,486,0,0,391,2,False,1,0
1,10.078999999999999,492,0,0,391,2,False,1,0
1,10.078999999999999,498,0,0,391,2,False,1,0
1,10.078999999999999,504,0,0,391,2,False,1,0
